
===== 2026-04-06T15:16:09-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p cube_world_x_offset_m:=-0.03 

[INFO] [1775502971.261403419] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775502971.442593974] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=5.0.
[INFO] [1775502973.943374628] [scene_from_vision_node]: Published obj_3 (new) at x=0.559, y=-0.091, z=0.099
[INFO] [1775502974.444431774] [scene_from_vision_node]: Published obj_4 (new) at x=0.654, y=-0.175, z=0.117
[INFO] [1775502975.943827464] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.560, y=-0.091, z=0.099
[INFO] [1775502976.445868408] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.653, y=-0.175, z=0.117
[INFO] [1775502978.448742594] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.560, y=-0.091, z=0.099
[INFO] [1775502978.452465943] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.175, z=0.117
[INFO] [1775502980.943653351] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.561, y=-0.091, z=0.099
[INFO] [1775502980.948696018] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.653, y=-0.175, z=0.117
[INFO] [1775502982.944117409] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.561, y=-0.091, z=0.099
[INFO] [1775502982.948218616] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.175, z=0.117
[INFO] [1775502985.444075081] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.559, y=-0.090, z=0.099
[INFO] [1775502985.449275517] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.175, z=0.117
[INFO] [1775502986.444465375] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.560, y=-0.091, z=0.099
[INFO] [1775502987.448019426] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.175, z=0.117
[INFO] [1775502988.944477389] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.560, y=-0.091, z=0.099
[INFO] [1775502989.944294539] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.653, y=-0.175, z=0.117
[INFO] [1775502990.444199541] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.556, y=-0.091, z=0.099
[INFO] [1775502991.445662035] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.559, y=-0.091, z=0.099
[INFO] [1775502992.444663929] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.653, y=-0.175, z=0.117
[INFO] [1775502993.943691231] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.559, y=-0.091, z=0.099
[INFO] [1775502994.444994535] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.175, z=0.117
[INFO] [1775502995.944740009] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.560, y=-0.091, z=0.099
[INFO] [1775502996.445667898] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.175, z=0.117
[INFO] [1775502998.444064649] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.561, y=-0.090, z=0.099
[INFO] [1775502998.943620774] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.175, z=0.117
[INFO] [1775503000.446470961] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.560, y=-0.091, z=0.099
[INFO] [1775503000.944317294] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.175, z=0.117
[INFO] [1775503002.946121639] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.561, y=-0.091, z=0.099
[INFO] [1775503002.950871260] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.175, z=0.117
[INFO] [1775503005.445780380] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.560, y=-0.091, z=0.099
[INFO] [1775503005.447371731] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.175, z=0.117
[INFO] [1775503007.446608627] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.560, y=-0.091, z=0.099
[INFO] [1775503007.452610065] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.653, y=-0.175, z=0.117
[INFO] [1775503009.944259297] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.560, y=-0.091, z=0.099
[INFO] [1775503009.946182346] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.175, z=0.117
