
===== 2026-04-08T19:17:28-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p scan_prune_unseen_objects:=true -p scan_duration_s:=10.0 

[INFO] [1775690250.474974035] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775690250.594588301] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=10.0, scan_min_samples=3, scan_prune_unseen_objects=True, continuous_scene_updates=False, latch_first_detection_updates=True, log_object_pose_debug=False, apply_planning_scene_service_updates=True, publish_monitored_planning_scene_updates=True, side_viewpoint=wrist_mounted_camera_color_optical_frame->base_link, reject_table_objects_outside_bounds=False.
[INFO] [1775690250.596800293] [scene_from_vision_node]: SceneFromVision calibration: xy_offset=(-0.228, 0.004), z_offset=0.000, yaw_deg=4.00, xy_scale=1.3370, clamp_table_objects_to_table_bounds=False, table_bounds_margin_m=0.030.
[INFO] [1775690303.103254223] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690305.596505422] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690305.600113625] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690307.596874587] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690307.598858976] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690310.095033871] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690310.100669355] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690312.595988519] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690312.599403922] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690314.596346055] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690314.598425634] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690317.096358751] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690317.098105408] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690319.602665383] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690319.606914815] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690322.096332807] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690322.098201795] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690324.597256718] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690324.602229070] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690327.096399182] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690327.097820482] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690329.112917769] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690329.125266246] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690331.606184797] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690331.607894106] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690334.095632841] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690334.097317344] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690336.096742565] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690336.110151631] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690338.096833294] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690338.098498601] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690340.595602426] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690340.601114343] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690342.601672233] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690342.607038176] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690345.095942784] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690345.098166958] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690347.095715563] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690347.097834095] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690349.604515001] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690349.609211692] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690352.112616609] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690352.123296597] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690354.107854844] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690354.121621952] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690356.638925248] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690356.640681143] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690359.101512922] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690359.103304956] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690361.598115302] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690361.619778377] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690364.101014932] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690364.129465002] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690366.598978880] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
