
===== 2026-04-06T15:01:05-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p cube_world_x_offset_m:=-0.03 

[INFO] [1775502067.213240728] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775502067.376978337] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=5.0.
[INFO] [1775502118.379991955] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502118.878544491] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.539, y=-0.089, z=0.099
[INFO] [1775502119.879253299] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.650, y=-0.156, z=0.117
[INFO] [1775502120.881400658] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502122.379724063] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.650, y=-0.156, z=0.117
[INFO] [1775502123.381046884] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502124.878344472] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.650, y=-0.156, z=0.117
[INFO] [1775502125.879150434] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.539, y=-0.089, z=0.099
[INFO] [1775502126.384239591] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.650, y=-0.157, z=0.117
[INFO] [1775502127.380479191] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502128.386059904] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.539, y=-0.089, z=0.099
[INFO] [1775502129.380945508] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.650, y=-0.156, z=0.117
[INFO] [1775502130.883716569] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.539, y=-0.089, z=0.099
[INFO] [1775502131.880102066] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.650, y=-0.156, z=0.117
[INFO] [1775502132.878942136] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.650, y=-0.157, z=0.117
[INFO] [1775502133.379925774] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502133.882736996] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.650, y=-0.156, z=0.117
[INFO] [1775502135.379751076] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502135.878504549] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502137.380456200] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502137.885183912] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.539, y=-0.089, z=0.099
[INFO] [1775502138.382242940] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502139.381231658] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.650, y=-0.157, z=0.117
[INFO] [1775502140.379142675] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502140.383904200] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502141.881963549] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.636, y=-0.154, z=0.117
[INFO] [1775502142.880000609] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.539, y=-0.089, z=0.099
[INFO] [1775502143.381848443] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.647, y=-0.156, z=0.117
[INFO] [1775502144.378986273] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502145.378907584] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502146.878376634] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502147.382169565] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502149.382066765] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502149.384575397] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502151.878496353] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502151.880184509] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502153.879283728] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502153.882027248] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.651, y=-0.157, z=0.117
