
===== 2026-04-08T18:32:09-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p scan_prune_unseen_objects:=true -p scan_duration_s:=10.0 

[INFO] [1775687531.802578349] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775687531.889166649] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=10.0, scan_min_samples=3, scan_prune_unseen_objects=True, continuous_scene_updates=False, latch_first_detection_updates=True, log_object_pose_debug=False, apply_planning_scene_service_updates=True, publish_monitored_planning_scene_updates=True, side_viewpoint=wrist_mounted_camera_color_optical_frame->base_link, reject_table_objects_outside_bounds=False.
[INFO] [1775687531.890910596] [scene_from_vision_node]: SceneFromVision calibration: xy_offset=(-0.228, 0.004), z_offset=0.000, yaw_deg=4.00, xy_scale=1.3370, clamp_table_objects_to_table_bounds=False, table_bounds_margin_m=0.030.
[INFO] [1775687531.892959512] [scene_from_vision_node]: SceneFromVision object offsets: remote_axis=y, remote_tag_to_center_sign=-1.0, remote_tag_from_end_m=0.020, cube_tag_to_center=(0.000, 0.000), cube_world_offset=(0.000, -0.022), cube_yaw_offset_deg=0.0, medication_face_to_center_m=0.030, cup_face_to_center_m=0.037.
[INFO] [1775687534.185032417] [scene_from_vision_node]: Latched first detection for tag ID 4 into scene memory.
[INFO] [1775687534.392641820] [scene_from_vision_node]: Published obj_4 (new) at x=0.642, y=0.061, z=0.117, yaw=+0.2deg
[INFO] [1775687534.410372580] [scene_from_vision_node]: /apply_planning_scene accepted dynamic scene updates; MoveIt should mirror these objects to RViz.
[INFO] [1775687536.893335854] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.642, y=0.061, z=0.117, yaw=+0.2deg
[INFO] [1775687536.895929776] [scene_from_vision_node]: Latched first detection for tag ID 3 into scene memory.
[INFO] [1775687537.389869977] [scene_from_vision_node]: Published obj_3 (new) at x=0.586, y=0.016, z=0.099, yaw=+91.1deg
[INFO] [1775687538.894406024] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.642, y=0.061, z=0.117, yaw=+0.2deg
[INFO] [1775687539.894997811] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.586, y=0.016, z=0.099, yaw=+91.1deg
[INFO] [1775687541.393173473] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.642, y=0.061, z=0.117, yaw=+0.2deg
[INFO] [1775687541.892477604] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.586, y=0.016, z=0.099, yaw=+91.1deg
[INFO] [1775687543.891272544] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.642, y=0.061, z=0.117, yaw=+0.2deg
[INFO] [1775687544.390709466] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.586, y=0.016, z=0.099, yaw=+91.1deg
[INFO] [1775687545.900925270] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.642, y=0.061, z=0.117, yaw=+0.2deg
[INFO] [1775687546.398012317] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.586, y=0.016, z=0.099, yaw=+91.1deg
[INFO] [1775687548.389097183] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.642, y=0.061, z=0.117, yaw=+0.2deg
[INFO] [1775687548.890771389] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.586, y=0.016, z=0.099, yaw=+91.1deg
[INFO] [1775687550.394165758] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.642, y=0.061, z=0.117, yaw=+0.2deg
[INFO] [1775687550.895790891] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.586, y=0.016, z=0.099, yaw=+91.1deg
[INFO] [1775687552.891465445] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.642, y=0.061, z=0.117, yaw=+0.2deg
[INFO] [1775687553.391736385] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.586, y=0.016, z=0.099, yaw=+91.1deg
[INFO] [1775687555.391949529] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.586, y=0.016, z=0.099, yaw=+91.1deg
[INFO] [1775687555.393951499] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.642, y=0.061, z=0.117, yaw=+0.2deg
