
===== 2026-04-07T20:39:00-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p scan_prune_unseen_objects:=true -p scan_duration_s:=10.0 

[INFO] [1775608741.789058258] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775608741.876086591] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=10.0, scan_min_samples=3, scan_prune_unseen_objects=True, continuous_scene_updates=False, latch_first_detection_updates=True, apply_planning_scene_service_updates=True, publish_monitored_planning_scene_updates=True, side_viewpoint=wrist_mounted_camera_color_optical_frame->base_link, reject_table_objects_outside_bounds=False.
[INFO] [1775608741.878248205] [scene_from_vision_node]: SceneFromVision calibration: xy_offset=(0.000, 0.060), z_offset=0.000, yaw_deg=0.00, xy_scale=1.0000, clamp_table_objects_to_table_bounds=False, table_bounds_margin_m=0.030.
[INFO] [1775608741.880518349] [scene_from_vision_node]: SceneFromVision object offsets: remote_axis=y, remote_tag_to_center_sign=1.0, remote_tag_from_end_m=0.020, cube_tag_to_center=(0.000, 0.000), cube_world_offset=(0.000, -0.010), cube_yaw_offset_deg=0.0, medication_face_to_center_m=0.030, cup_face_to_center_m=0.037.
[INFO] [1775608744.883840963] [scene_from_vision_node]: Latched first detection for tag ID 4 into scene memory.
[INFO] [1775608745.378191528] [scene_from_vision_node]: Published obj_4 (new) at x=0.712, y=0.249, z=0.117
[INFO] [1775608745.384588133] [scene_from_vision_node]: /apply_planning_scene accepted dynamic scene updates; MoveIt should mirror these objects to RViz.
[INFO] [1775608747.877649879] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608749.878060144] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608751.726893686] [scene_from_vision_node]: Scene scan started for 10.0s. Visible detections will be sampled, filtered, and committed at scan end.
[INFO] [1775608751.930883755] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608753.971069107] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608756.000968848] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608758.020341483] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608760.051826024] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608761.777363899] [scene_from_vision_node]: Scan committed tag 4: raw=47, accepted=47, rejected=0, median tag pose x=0.712, y=0.259, z=0.145. object center x=0.712, y=0.249, z=0.117. table_delta x=+0.030, y=+0.249.
[INFO] [1775608761.781486159] [scene_from_vision_node]: Scene scan complete. Remembered object IDs: [4]
[INFO] [1775608762.379063696] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608764.877798945] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608767.379270673] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608769.879118559] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608772.377538655] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608774.886165330] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608776.882596028] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608779.377151323] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608781.379404284] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608783.892117808] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608786.381147467] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608788.383161054] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608790.878040982] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608792.885222390] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608794.881945157] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608797.376948551] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608799.380731025] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608801.380189797] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608803.883982309] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608806.377084079] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608808.877943469] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608810.884177729] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608812.877669628] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608815.377495972] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608817.379100508] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608819.878645696] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608821.879545415] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608824.378739161] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608826.885158886] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608829.382131335] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608831.878394231] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608833.879714456] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608835.884636463] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608838.381460172] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608840.383343974] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608842.881896099] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608844.882991147] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608847.377308587] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608849.379714942] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608851.882242419] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608853.880163284] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608856.381046973] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608858.876945295] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608860.878969062] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608863.376371242] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608865.879876701] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608867.881910485] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608870.377126867] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608872.879447331] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608875.379761806] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608877.877951024] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608880.377482320] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608882.877567267] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608884.879151634] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608886.877997085] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608889.377379386] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608891.879761212] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608894.382660214] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608896.383270494] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608898.877742568] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608901.376801616] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
[INFO] [1775608903.378578524] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.712, y=0.249, z=0.117
