
===== 2026-04-06T17:55:51-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p cube_world_x_offset_m:=-0.03 

[INFO] [1775512552.678348558] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775512552.833396196] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=5.0.
[INFO] [1775512556.341805699] [scene_from_vision_node]: Published obj_3 (new) at x=0.498, y=-0.184, z=0.099
[INFO] [1775512556.343459991] [scene_from_vision_node]: Published obj_4 (new) at x=0.562, y=-0.269, z=0.117
[INFO] [1775512558.835225836] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.498, y=-0.183, z=0.099
[INFO] [1775512558.836537371] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.561, y=-0.269, z=0.117
[INFO] [1775512560.835382524] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.498, y=-0.184, z=0.099
[INFO] [1775512560.836824220] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.561, y=-0.269, z=0.117
[INFO] [1775512561.835133867] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.497, y=-0.177, z=0.099
[INFO] [1775512563.334777229] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.561, y=-0.269, z=0.117
[INFO] [1775512563.835738918] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.498, y=-0.184, z=0.099
[INFO] [1775512564.834764433] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.498, y=-0.177, z=0.099
[INFO] [1775512565.334875193] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.562, y=-0.269, z=0.117
[INFO] [1775512565.835433503] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.498, y=-0.184, z=0.099
[INFO] [1775512566.834285286] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.497, y=-0.177, z=0.099
[INFO] [1775512567.338322333] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.561, y=-0.269, z=0.117
[INFO] [1775512567.836774338] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.497, y=-0.184, z=0.099
[INFO] [1775512569.337670898] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.561, y=-0.268, z=0.117
[INFO] [1775512570.334674892] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.498, y=-0.184, z=0.099
[INFO] [1775512571.838756279] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.561, y=-0.269, z=0.117
[INFO] [1775512572.334749763] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.497, y=-0.177, z=0.099
[INFO] [1775512574.334548874] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.561, y=-0.269, z=0.117
[INFO] [1775512574.835606608] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.497, y=-0.184, z=0.099
[INFO] [1775512576.334156138] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.561, y=-0.268, z=0.117
[INFO] [1775512576.835135955] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.498, y=-0.184, z=0.099
[INFO] [1775512577.336116536] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.497, y=-0.183, z=0.099
[INFO] [1775512578.834534200] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.561, y=-0.269, z=0.117
