
===== 2026-04-06T18:28:59-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p cube_world_x_offset_m:=-0.03 

[INFO] [1775514540.797534277] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775514540.936007006] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=5.0.
[INFO] [1775514543.940912182] [scene_from_vision_node]: Published obj_2 (new) at x=0.864, y=-0.340, z=0.141
[INFO] [1775514543.942306871] [scene_from_vision_node]: Published obj_3 (new) at x=0.521, y=-0.104, z=0.099
[INFO] [1775514543.948355789] [scene_from_vision_node]: Published obj_4 (new) at x=0.664, y=-0.166, z=0.117
[INFO] [1775514544.938637981] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.532, y=-0.104, z=0.099
[INFO] [1775514546.437776924] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.865, y=-0.339, z=0.141
[INFO] [1775514546.439191189] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.521, y=-0.104, z=0.099
[INFO] [1775514546.441741937] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.664, y=-0.166, z=0.117
[INFO] [1775514547.938973758] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.532, y=-0.104, z=0.099
[INFO] [1775514548.441952092] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.864, y=-0.340, z=0.141
[INFO] [1775514548.446829003] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.664, y=-0.166, z=0.117
[INFO] [1775514548.938472768] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.521, y=-0.104, z=0.099
[INFO] [1775514549.439508696] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.531, y=-0.104, z=0.099
[INFO] [1775514550.438112142] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.521, y=-0.104, z=0.099
[INFO] [1775514550.939053236] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.863, y=-0.339, z=0.141
[INFO] [1775514550.942895352] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.664, y=-0.166, z=0.117
[INFO] [1775514551.939831981] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.532, y=-0.104, z=0.099
[INFO] [1775514552.942730392] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.862, y=-0.339, z=0.141
[INFO] [1775514552.945012863] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.664, y=-0.166, z=0.117
[INFO] [1775514553.940042130] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.532, y=-0.104, z=0.099
[INFO] [1775514554.940170166] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.521, y=-0.104, z=0.099
[INFO] [1775514555.438692569] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.862, y=-0.339, z=0.141
[INFO] [1775514555.439901211] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.663, y=-0.166, z=0.117
