
===== 2026-04-07T20:18:27-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p scan_prune_unseen_objects:=true -p scan_duration_s:=10.0 

[INFO] [1775607509.582261835] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775607510.618881710] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=10.0, scan_min_samples=3, scan_prune_unseen_objects=True, continuous_scene_updates=False, latch_first_detection_updates=True, apply_planning_scene_service_updates=True, publish_monitored_planning_scene_updates=True, side_viewpoint=wrist_mounted_camera_color_optical_frame->base_link, reject_table_objects_outside_bounds=False.
[INFO] [1775607510.620856533] [scene_from_vision_node]: SceneFromVision calibration: xy_offset=(0.000, 0.060), z_offset=0.000, yaw_deg=0.00, xy_scale=1.0000, clamp_table_objects_to_table_bounds=False, table_bounds_margin_m=0.030.
[INFO] [1775607510.623024723] [scene_from_vision_node]: SceneFromVision object offsets: remote_axis=y, remote_tag_to_center_sign=1.0, remote_tag_from_end_m=0.020, cube_tag_to_center=(0.000, 0.000), cube_world_offset=(0.000, -0.010), cube_yaw_offset_deg=0.0, medication_face_to_center_m=0.030, cup_face_to_center_m=0.037.
[INFO] [1775607511.626608673] [scene_from_vision_node]: Latched first detection for tag ID 4 into scene memory.
[INFO] [1775607512.119434266] [scene_from_vision_node]: Published obj_4 (new) at x=0.710, y=0.222, z=0.117
[INFO] [1775607512.126031164] [scene_from_vision_node]: /apply_planning_scene accepted dynamic scene updates; MoveIt should mirror these objects to RViz.
[INFO] [1775607514.120672839] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.710, y=0.222, z=0.117
[INFO] [1775607516.123883150] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.710, y=0.222, z=0.117
[INFO] [1775607517.432161173] [scene_from_vision_node]: Scene scan started for 10.0s. Visible detections will be sampled, filtered, and committed at scan end.
[INFO] [1775607518.147936438] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.710, y=0.222, z=0.117
[INFO] [1775607520.174080351] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.710, y=0.222, z=0.117
[INFO] [1775607522.202344290] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.710, y=0.222, z=0.117
[INFO] [1775607524.232250864] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.710, y=0.222, z=0.117
[INFO] [1775607526.259799457] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.710, y=0.222, z=0.117
[INFO] [1775607527.548059341] [scene_from_vision_node]: Scan committed tag 4: raw=59, accepted=59, rejected=0, median tag pose x=0.709, y=0.232, z=0.145. object center x=0.709, y=0.222, z=0.117. table_delta x=+0.028, y=+0.222.
[INFO] [1775607527.554289782] [scene_from_vision_node]: Scene scan complete. Remembered object IDs: [4]
[INFO] [1775607528.624633542] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607531.120855319] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607533.620330507] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607535.623766028] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607538.120859779] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607540.122161811] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607542.623372573] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607544.621120560] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607547.120522212] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607549.623171698] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607551.621650970] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607554.121329185] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607556.119883788] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607558.143593169] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607560.625183187] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607563.120155159] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607565.619111124] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607568.148798015] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607570.619769108] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607572.620251310] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607574.622607325] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607577.123373629] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607579.624187422] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607582.121051415] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607584.120489111] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607586.622770635] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607589.122778319] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607591.623857390] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607594.120187246] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607596.128930380] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607598.619286831] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607600.620599904] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607602.620356740] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607605.120230478] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607607.120405813] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607609.124723446] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607611.622273376] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607614.119893802] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607616.619509722] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607618.619751991] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607621.121047983] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607623.620818172] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607625.625301170] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607628.120798307] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607630.619355686] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607632.620989206] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607634.624220017] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607637.120784650] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607639.122879452] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607641.624208634] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607644.120286396] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607646.623768473] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607649.121397396] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607651.120579977] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607653.626884362] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607656.119569865] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607658.119851068] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607660.121200132] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607662.620608302] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607665.121989240] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607667.622931344] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607670.119735169] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607672.123880791] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607674.619914754] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607676.621965613] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
[INFO] [1775607678.627170942] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.709, y=0.222, z=0.117
