
===== 2026-04-06T19:13:56-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p cube_world_x_offset_m:=-0.03 

[INFO] [1775517237.456396393] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775517237.576973290] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=5.0, scan_min_samples=3, continuous_scene_updates=False, reject_table_objects_outside_bounds=False.
[INFO] [1775517273.943499245] [scene_from_vision_node]: Scene scan started for 5.0s. Visible detections will be sampled, filtered, and committed at scan end.
[INFO] [1775517278.961588264] [scene_from_vision_node]: Scene scan complete. Remembered object IDs: []
[INFO] [1775517310.084402372] [scene_from_vision_node]: Scene scan started for 5.0s. Visible detections will be sampled, filtered, and committed at scan end.
[INFO] [1775517315.116748943] [scene_from_vision_node]: Scan committed tag 3: raw=55, accepted=55, rejected=0, median tag pose x=0.582, y=-0.098, z=-0.023. object center x=0.516, y=-0.098, z=0.099.
[INFO] [1775517315.119075978] [scene_from_vision_node]: Scan committed tag 4: raw=55, accepted=55, rejected=0, median tag pose x=0.684, y=-0.159, z=-0.020. object center x=0.654, y=-0.159, z=0.117.
[INFO] [1775517315.120067185] [scene_from_vision_node]: Published obj_3 (new) at x=0.516, y=-0.098, z=0.099
[INFO] [1775517315.120821419] [scene_from_vision_node]: Published obj_4 (new) at x=0.654, y=-0.159, z=0.117
[INFO] [1775517315.121806203] [scene_from_vision_node]: Scene scan complete. Remembered object IDs: [3, 4]
[INFO] [1775517317.578611582] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.516, y=-0.098, z=0.099
[INFO] [1775517317.579684896] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.159, z=0.117
[INFO] [1775517319.578875554] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.516, y=-0.098, z=0.099
[INFO] [1775517319.582829547] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.159, z=0.117
[INFO] [1775517322.080237878] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.516, y=-0.098, z=0.099
[INFO] [1775517322.082124068] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.159, z=0.117
[INFO] [1775517324.079453990] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.516, y=-0.098, z=0.099
[INFO] [1775517324.080788293] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.159, z=0.117
[INFO] [1775517326.579222227] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.516, y=-0.098, z=0.099
[INFO] [1775517326.581300512] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.159, z=0.117
[INFO] [1775517329.077972953] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.516, y=-0.098, z=0.099
[INFO] [1775517329.079283632] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.159, z=0.117
[INFO] [1775517331.079011328] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.516, y=-0.098, z=0.099
[INFO] [1775517331.080432527] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.654, y=-0.159, z=0.117
