
===== 2026-04-06T18:23:48-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p cube_world_x_offset_m:=-0.03 

[INFO] [1775514229.601186324] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775514229.739035888] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=5.0.
[INFO] [1775514233.240715742] [scene_from_vision_node]: Published obj_3 (new) at x=0.535, y=-0.106, z=0.099
[INFO] [1775514233.740660285] [scene_from_vision_node]: Published obj_4 (new) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514234.239741023] [scene_from_vision_node]: Published obj_2 (new) at x=0.887, y=-0.349, z=0.141
[INFO] [1775514234.742395729] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.534, y=-0.106, z=0.099
[INFO] [1775514235.741073628] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.535, y=-0.107, z=0.099
[INFO] [1775514235.742524882] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.670, y=-0.168, z=0.117
[INFO] [1775514236.241317786] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.887, y=-0.349, z=0.141
[INFO] [1775514237.741429525] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.535, y=-0.107, z=0.099
[INFO] [1775514237.742990492] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514238.740748105] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.887, y=-0.349, z=0.141
[INFO] [1775514240.240324325] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.536, y=-0.106, z=0.099
[INFO] [1775514240.242501162] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514240.741137398] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.887, y=-0.349, z=0.141
[INFO] [1775514242.240112067] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.536, y=-0.107, z=0.099
[INFO] [1775514242.241469549] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514242.741418672] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.887, y=-0.349, z=0.141
[WARN] [1775514242.912154458] [scene_from_vision_node]: Failed to get pose for tag ID 2: Tag ID 2 did not produce a fresh base_link pose within 5.0s.
[INFO] [1775514244.241133817] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.536, y=-0.106, z=0.099
[INFO] [1775514244.242933102] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514245.240602137] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.887, y=-0.349, z=0.141
[INFO] [1775514246.741110532] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.536, y=-0.106, z=0.099
[INFO] [1775514246.744804883] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.670, y=-0.168, z=0.117
[INFO] [1775514247.740376380] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.887, y=-0.349, z=0.141
[INFO] [1775514249.241586244] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.536, y=-0.106, z=0.099
[INFO] [1775514249.245375350] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514249.740781419] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.887, y=-0.349, z=0.141
[INFO] [1775514250.741068869] [scene_from_vision_node]: Published obj_2 (pose_update) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514251.740827303] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.536, y=-0.106, z=0.099
[INFO] [1775514251.742244755] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514252.742132140] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514253.240675129] [scene_from_vision_node]: Published obj_3 (pose_update) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514253.741713856] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514255.240094454] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514255.240976601] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514256.240306053] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514257.240203426] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514257.241066486] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514258.740559776] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514259.239930060] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514259.240792046] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514261.239901394] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514261.740635913] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514261.741592082] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514263.240079811] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514264.240032211] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514264.241582865] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514265.740706797] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514266.240355760] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514266.241735458] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514267.740937434] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514268.240306875] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514268.241394205] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514270.240517789] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514270.740539198] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514270.741837125] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514272.240226730] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514273.239750221] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514273.240936944] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514274.740886777] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514275.239773214] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514275.240635948] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514277.240500424] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514277.241896655] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514277.243297683] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514279.240438474] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514279.241735165] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514279.243019008] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514281.240454192] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514281.244995579] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514281.246529328] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514283.741070619] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514283.742405345] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514283.743707393] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514285.740734625] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514285.742139405] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514285.744804400] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514287.740363310] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514287.741865667] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514287.743385770] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514290.240065976] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514290.241614273] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514290.242727997] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514292.240811838] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514292.242797107] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514292.244311577] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514294.740968116] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514294.742385344] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514294.743998155] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514297.240074629] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514297.241367872] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514297.242527856] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
[INFO] [1775514299.741088014] [scene_from_vision_node]: Published obj_2 (heartbeat) at x=0.874, y=-0.345, z=0.141
[INFO] [1775514299.742460597] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.527, y=-0.106, z=0.099
[INFO] [1775514299.743852361] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.669, y=-0.168, z=0.117
